revenue_region_no,province,municipality,barangay,street_subdivision,vicinity,classification,zonal_value
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),A.G. TUPAS ST. (L JAENA ST) ),DON CELESTINO PERALTA ST(DEL ROSARIO ST)-ROMERO ST,RR,"18,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),P. LAZARO ST. (P BURGOS ST),Z FLORES ST -ABELARDO SAMONTE ST(HIDALGO ST),RR,"18,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),P. LAZARO ST. (P BURGOS ST),Z FLORES-ABLAN AVENUE,CR,"23,800.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),P. LAZARO ST. (P BURGOS ST),Z FLORES-ABLAN AVENUE,RR,"18,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),Z FLORES ST -ABELARDO SAMONTE ST(HIDALGO ST),RR,"18,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),Z FLORES-ABLAN AVENUE,CR,"24,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),Z FLORES-ABLAN AVENUE,RR,"18,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),ABLAN AVE-GEN HIZON ST,CR*,"24,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),ABLAN AVE-GEN HIZON ST,GL*,"24,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),M. REMIGIO ST. (P. GOMEZ ST),ABLAN AVE-GEN HIZON ST,RR*,"18,600.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),GOMBURZA ST. (P ZAMORA ST),Z FLORES ST -ABELARDO SAMONTE ST(HIDALGO ST),RR,"18,200.00"
" 2 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),GOMBURZA ST. (P ZAMORA ST),Z FLORES-ABLAN AVENUE,CR,"24,200.00"
" 3 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),GOMBURZA ST. (P ZAMORA ST),Z FLORES-ABLAN AVENUE,RR,"17,400.00"
" 4 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),RIZAL ST,Z FLORES ST - ROMERO ST,CR,"29,400.00"
" 5 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),RIZAL ST,DON CELESTINO PERALTA ST(DEL ROSARIO ST)-ROMERO ST,CR,"26,600.00"
" 6 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ROMERO ST,LAOAG RIVER - J LUNA ST,RR,"10,100.00"
" 7 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ROMERO ST,J LUNA ST - J P RIZAL ST,RR,"17,500.00"
" 8 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),Z FLORES ST,LAOAG RIVER - J P RIZAL ST,RR,"11,800.00"
" 9 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),Z FLORES ST,J LUNA ST - J P RIZAL ST,RR,"12,000.00"
" 10 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),Z FLORES ST,J P RIZAL ST - GEN A LUNA ST,CR,"33,500.00"
" 11 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),Z FLORES ST,GEN A LUNA ST - M. REMIGIO ST(P. GOMEZ ST),RR,"18,900.00"
" 12 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),Z FLORES ST,J P RIZAL ST - M. REMIGIO ST(P GOMEZ ST),CR,"30,500.00"
" 13 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),Z FLORES ST,J P RIZAL ST - M. REMIGIO ST(P GOMEZ ST),RR,"18,500.00"
" 14 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),A.MABINI ST.,Z FLORES ST-ABLAN AVENUE,CR,"29,300.00"
" 15 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),A.MABINI ST.,Z FLORES ST-ABLAN AVENUE,RR,"18,500.00"
" 16 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ABLAN AVENUE,J P RIZAL ST - M. REMIGIO ST(P GOMEZ ST),CR,"20,200.00"
" 17 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ABLAN AVENUE,J P RIZAL ST - M. REMIGIO ST(P GOMEZ ST),RR,"14,300.00"
" 18 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ABLAN AVENUE,J. LUNA ST- A. CASTRO,RR,"23,200.00"
" 19 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),PERALTA ST,LAOAG RIVER - J LUNA ST,RR,"13,500.00"
" 20 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),PERALTA ST,J. LUNA - J. RIZAL ST,CR,"22,100.00"
" 21 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),C.A. SAMONTE,RIZAL ST- REMIGIO ST,CR,"30,900.00"
" 22 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),C.A. SAMONTE,RIZAL ST- REMIGIO ST,RR,"19,400.00"
" 23 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,RR,"11,400.00"
" 24 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A1,"8,000.00"
" 25 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A2,"7,100.00"
" 26 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ALL OTHER STREETS,ALONG THE ROAD,A50,"6,600.00"
" 27 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ALL OTHER STREETS,INTERIOR,RR,"9,900.00"
" 28 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ALL OTHER STREETS,INTERIOR,A1,"7,400.00"
" 29 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 5 - SAN PEDRO (POBLACION),ALL OTHER STREETS,INTERIOR,A50,"5,900.00"
